date_key,route_id,route_short_name,mode,trip_stop_count,late_count,cancelled_count,pct_on_time,avg_arrival_delay_seconds
20260916,CTY_NC1a,NRC,train,53,0,0,94.3,11.8
20260917,APS_2a,T8,train,698,0,0,100.0,0.7
20260917,NSN_2i,T1,train,58,0,0,100.0,1.8
20260917,WST_1b,T1,train,345,0,0,100.0,23.8
20260917,SCO_1a,SCO,train,403,59,0,82.9,136.3
20260916,IWL_2b,T2,train,4,0,0,100.0,0.0
20260916,OLY_2b,T7,train,4,0,0,100.0,5.0
20260916,CCN_2b,CCN,train,24,0,0,100.0,4.3
20260917,IWL_2a,T2,train,420,37,0,89.8,97.6
20260917,CCN_2a,CCN,train,349,3,0,99.1,21.0
20260916,APS_1b,T8,train,33,2,0,93.9,90.7
20260916,APS_1e,T8,train,35,0,0,100.0,12.3
20260916,IWL_2a,T2,train,32,0,0,100.0,0.0
20260916,ESI_1d,T4,train,58,0,0,100.0,37.8
20260916,SCO_2b,SCO,train,25,1,0,96.0,211.0
20260917,IWL_2c,T2,train,567,15,0,97.4,58.3
20260917,NSN_1a,T1,train,802,1,0,99.9,14.1
20260917,T6_2a,T6,train,105,0,0,100.0,9.4
20260917,IWL_2b,T2,train,12,0,0,100.0,4.9
20260917,CMB_1b,T5,train,120,60,0,39.2,426.6
20260917,ESI_1d,T4,train,617,18,0,96.4,46.0
20260917,CTY_NW1d,NRW,train,17,4,0,70.6,197.3
20260917,CTY_NC1a,NRC,train,63,2,0,79.4,36.4
20260916,CMB_1a,T5,train,51,0,0,100.0,37.5
20260916,SCO_1a,SCO,train,94,6,0,93.6,64.1
20260916,SHL_2e,SHL,train,15,2,0,86.7,96.3
20260916,SHL_1d,SHL,train,11,0,0,100.0,8.2
20260917,OLY_1b,T7,train,29,0,0,100.0,10.9
20260917,CTY_NW2a,NRW,train,5,5,0,0.0,1407.8
20260917,SHL_2e,SHL,train,10,0,0,100.0,39.8
20260917,SHL_2d,SHL,train,1,1,0,0.0,1585.0
20260917,CTY_W2a,WST,train,17,0,0,100.0,0.0
20260917,APS_1a,T8,train,1177,111,0,90.6,100.6
20260917,NTH_1b,T9,train,168,0,0,100.0,19.7
20260917,WST_2d,T1,train,360,1,0,99.7,15.4
20260917,SHL_1e,SHL,train,146,11,0,92.5,78.8
20260916,IWL_2i,T2,train,15,0,0,100.0,0.0
20260916,ESI_2a,T4,train,87,0,0,98.9,3.4
20260916,IWL_1i,T2,train,38,0,0,100.0,4.4
20260916,APS_1c,T8,train,21,0,0,100.0,0.0
20260917,T3_2a,T3,train,257,4,0,98.4,12.1
20260917,APS_1c,T8,train,126,16,0,87.3,54.8
20260917,SCO_2b,SCO,train,141,11,0,92.2,48.3
20260917,CCN_1c,CCN,train,528,27,0,94.1,81.6
20260917,CTY_NC2,NRC,train,3,0,0,100.0,27.0
20260916,T3_1a,T3,train,1,0,0,100.0,0.0
20260916,APS_2f,T8,train,5,0,0,100.0,0.0
20260916,SCO_2a,SCO,train,31,1,0,96.8,55.8
20260917,SCO_2a,SCO,train,151,26,0,82.8,155.8
20260917,CMB_2b,T5,train,112,22,0,80.4,433.1
20260917,ESI_1a,T4,train,506,25,0,95.1,37.7
20260917,ESI_2d,T4,train,665,29,0,92.5,48.3
20260917,ESI_1c,T4,train,6,1,0,83.3,191.5
20260917,OLY_2b,T7,train,30,0,0,100.0,14.0
20260917,SHL_1d,SHL,train,15,0,0,86.7,52.0
20260917,CTY_W1a,WST,train,11,3,0,72.7,169.5
20260916,NSN_1a,T1,train,142,0,0,100.0,3.7
20260916,NSN_2k,T1,train,110,0,0,100.0,0.3
20260916,SHL_1e,SHL,train,156,30,0,80.8,135.1
20260917,NTH_2a,T9,train,755,0,0,100.0,16.0
20260917,IWL_1i,T2,train,1,0,0,100.0,209.0
20260917,SCO_1b,SCO,train,140,2,0,98.6,47.9
20260917,IWL_1b,T2,train,2,1,0,50.0,228.0
20260916,NTH_2a,T9,train,72,0,0,100.0,0.9
20260916,CCN_1b,CCN,train,40,0,0,100.0,99.5
20260916,CTY_NW1d,NRW,train,11,0,0,90.9,0.0
20260917,NSN_2k,T1,train,925,0,0,100.0,7.1
20260917,T3_1a,T3,train,320,35,0,89.1,98.5
20260917,IWL_1e,T2,train,246,28,0,63.4,153.9
20260917,T6_1a,T6,train,106,0,0,100.0,13.4
20260917,T6_2b,T6,train,16,15,0,0.0,1527.0
20260917,IWL_2g,T2,train,2,0,0,100.0,97.5
20260917,CTY_S1i,STH,train,17,17,0,0.0,1135.0
20260916,APS_2a,T8,train,95,6,0,93.7,108.3
20260916,ESI_2d,T4,train,82,0,0,98.8,16.5
20260917,IWL_1a,T2,train,731,22,0,97.0,21.9
20260917,APS_1e,T8,train,107,0,0,100.0,5.4
